Class Name,Class Stereotype,Method Name,Method Stereotype
"ArchiLogger","commander","LogGenericWarning","command"
"ArchiLogger","commander","LogGenericWarningException","command"
"ArchiLogger","commander","LogNullError","wrapper stateless"
"ArchiLogger","commander","LogChatMessage","command collaborator"
"ArchiLogger","commander","LogFatalError","command"
"ArchiLogger","commander","LogFatalException","non-void-command collaborator"
"ArchiLogger","commander","LogInvite","wrapper stateless"
"GitHubReleaseResponse","empty","GitHubReleaseResponse","constructor"
"SteamChatMessage","degenerate","CanSplitEvenWithStupidlyLongPrefix","wrapper stateless"
"SteamChatMessage","degenerate","DoesntSkipEmptyNewlines","controller stateless"
"SteamChatMessage","degenerate","DoesntSplitInTheMiddleOfMultiByteChar","wrapper stateless"
"SteamChatMessage","degenerate","DoesntSplitJustBecauseOfLastEscapableCharacter","controller stateless"
"SteamChatMessage","degenerate","DoesntSplitOnBackslashNotUsedForEscaping","controller stateless"
"SteamChatMessage","degenerate","DoesntSplitOnEscapeCharacter","wrapper stateless"
"SteamChatMessage","degenerate","NoNeedForAnySplittingWithNewlines","controller stateless"
"SteamChatMessage","degenerate","NoNeedForAnySplittingWithoutNewlines","controller stateless"
"SteamChatMessage","degenerate","ProperlyEscapesCharacters","controller stateless"
"SteamChatMessage","degenerate","ProperlyEscapesSteamMessagePrefix","controller stateless"
"SteamChatMessage","degenerate","ProperlySplitsLongSingleLine","wrapper stateless"
"SteamChatMessage","degenerate","RyzhehvostInitialTestForSplitting","controller stateless"
"SteamChatMessage","degenerate","SplitsOnNewlinesWithParagraphCharacter","controller stateless"
"SteamChatMessage","degenerate","ThrowsOnTooLongNewlinesPrefix","wrapper stateless"
"SteamChatMessage","degenerate","ThrowsOnTooLongPrefix","wrapper stateless"
"HeartBeatRequest","empty","HeartBeatRequest","constructor"
"PluginUpdateRequest","empty","PluginUpdateRequest","constructor"
"ASFResponse","empty","ASFResponse","constructor"
"MaFileSessionData","empty","MaFileSessionData","constructor"
"InMemoryServerListProvider","entity boundary small-class","UpdateServerListAsync","property non-void-command collaborator"
"MonitoringPlugin","commander boundary","OnBotTradeOfferResults","property non-void-command collaborator"
"MonitoringPlugin","commander boundary","OnConfiguringEndpoints","controller stateless"
"MonitoringPlugin","commander boundary","OnConfiguringServices","command collaborator"
"MonitoringPlugin","commander boundary","InitializeMeter","command collaborator"
"SteamTokenDumperPlugin","entity commander boundary","OnASFInit","non-void-command collaborator"
"SteamTokenDumperPlugin","entity commander boundary","OnBotCommand","wrapper stateless"
"SteamTokenDumperPlugin","entity commander boundary","OnBotDestroy","non-void-command collaborator"
"SteamTokenDumperPlugin","entity commander boundary","OnBotInit","non-void-command collaborator"
"SteamTokenDumperPlugin","entity commander boundary","OnBotSteamCallbacksInit","property non-void-command collaborator"
"ItemDescription","empty","ItemDescription","constructor"
"ItemDescription","empty","ItemDescription","constructor"
"ListedUser","empty","ListedUser","constructor"
"TradeStatistics","commander boundary small-class","Include","command collaborator"
"Bot","boundary degenerate","MaxItemsBarelyEnoughForOneSet","controller"
"Bot","boundary degenerate","MaxItemsTooSmall","wrapper"
"Bot","boundary degenerate","MoreCardsThanNeeded","wrapper stateless"
"Bot","boundary degenerate","MultipleSets","wrapper stateless"
"Bot","boundary degenerate","MultipleSetsDifferentAmount","wrapper stateless"
"Bot","boundary degenerate","MutliRarityAndType","wrapper stateless"
"Bot","boundary degenerate","NotAllCardsPresent","wrapper stateless"
"Bot","boundary degenerate","OneSet","wrapper stateless"
"Bot","boundary degenerate","OtherAppIDFullSets","wrapper stateless"
"Bot","boundary degenerate","OtherAppIDNoSets","wrapper stateless"
"Bot","boundary degenerate","OtherAppIDOneSet","wrapper stateless"
"Bot","boundary degenerate","OtherRarityFullSets","wrapper stateless"
"Bot","boundary degenerate","OtherRarityNoSets","wrapper stateless"
"Bot","boundary degenerate","OtherRarityOneSet","wrapper stateless"
"Bot","boundary degenerate","OtherTypeFullSets","wrapper stateless"
"Bot","boundary degenerate","OtherTypeNoSets","wrapper stateless"
"Bot","boundary degenerate","OtherTypeOneSet","wrapper stateless"
"Bot","boundary degenerate","TooHighAmount","wrapper stateless"
"Bot","boundary degenerate","TooManyCardsForSingleTrade","controller stateless"
"Bot","boundary degenerate","TooManyCardsForSingleTradeMultipleAppIDs","controller stateless"
"Bot","boundary degenerate","TooManyCardsPerSet","wrapper stateless"
"Bot","boundary degenerate","Bot","copy-constructor"
"Bot","boundary degenerate","Dispose","command"
